Year,Tm,Lg,G,W,L,Ties,WL,pythWL,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,TopPlayer,Managers,current
1931,Brooklyn Robins,NL,153,79,73,1,0.52,0.505,4th of 8,21,,681,673,"753,133",29.3,32.9,W.Clark (6.3),W.Robinson (79-73),Los Angeles Dodgers
1930,Brooklyn Robins,NL,154,86,68,0,0.558,0.575,4th of 8,6,,871,738,"1,097,329",28.9,31.4,B.Herman (6.9),W.Robinson (86-68),Los Angeles Dodgers
1929,Brooklyn Robins,NL,153,70,83,0,0.458,0.426,6th of 8,28.5,,755,888,"731,886",30,29.6,W.Clark (5.4),W.Robinson (70-83),Los Angeles Dodgers
1928,Brooklyn Robins,NL,155,77,76,2,0.503,0.518,6th of 8,17.5,,665,640,"664,863",31,31.5,D.Vance (10.1),W.Robinson (77-76),Los Angeles Dodgers
1927,Brooklyn Robins,NL,154,65,88,1,0.425,0.439,6th of 8,28.5,,541,619,"637,230",29.9,31.9,D.Vance (7.5),W.Robinson (65-88),Los Angeles Dodgers
1926,Brooklyn Robins,NL,155,71,82,2,0.464,0.444,6th of 8,17.5,,623,705,"650,819",31,31.5,J.Petty (5.0),W.Robinson (71-82),Los Angeles Dodgers
1925,Brooklyn Robins,NL,153,68,85,0,0.444,0.456,6th of 8,27,,786,866,"659,435",31.4,30.3,D.Vance (5.9),W.Robinson (68-85),Los Angeles Dodgers
1924,Brooklyn Robins,NL,154,92,62,0,0.597,0.525,2nd of 8,1.5,,717,679,"818,883",30.8,30.3,D.Vance (10.3),W.Robinson (92-62),Los Angeles Dodgers
1923,Brooklyn Robins,NL,155,76,78,1,0.494,0.507,6th of 8,19.5,,753,741,"564,666",29.7,28.7,J.Fournier (5.6),W.Robinson (76-78),Los Angeles Dodgers
1922,Brooklyn Robins,NL,155,76,78,1,0.494,0.493,6th of 8,17,,743,754,"498,865",30.1,28.8,D.Ruether (5.2),W.Robinson (76-78),Los Angeles Dodgers
1921,Brooklyn Robins,NL,152,77,75,0,0.507,0.49,5th of 8,16.5,,667,681,"613,245",30.4,28.4,B.Grimes (8.0),W.Robinson (77-75),Los Angeles Dodgers
1920,Brooklyn Robins,NL,155,93,61,1,0.604,0.601,1st of 8,--,Lost WS (5-2),660,528,"808,722",30,28.8,B.Grimes (8.1),W.Robinson (93-61),Los Angeles Dodgers
1919,Brooklyn Robins,NL,141,69,71,1,0.493,0.511,5th of 8,27,,525,513,"360,721",29.3,27.8,L.Cadore (5.7),W.Robinson (69-71),Los Angeles Dodgers
1918,Brooklyn Robins,NL,126,57,69,0,0.452,0.387,5th of 8,25.5,,360,463,"83,831",29.9,29.2,B.Grimes (4.7),W.Robinson (57-69),Los Angeles Dodgers
1917,Brooklyn Robins,NL,156,70,81,5,0.464,0.459,7th of 8,26.5,,511,559,"221,619",28.8,28.7,L.Cadore (5.4),W.Robinson (70-81),Los Angeles Dodgers
1916,Brooklyn Robins,NL,156,94,60,2,0.61,0.598,1st of 8,--,Lost WS (4-1),585,471,"447,747",28.6,28.7,J.Pfeffer (7.1),W.Robinson (94-60),Los Angeles Dodgers
1915,Brooklyn Robins,NL,154,80,72,2,0.526,0.48,3rd of 8,10,,536,560,"297,766",26.6,27.4,J.Pfeffer (6.3),W.Robinson (80-72),Los Angeles Dodgers
1914,Brooklyn Robins,NL,154,75,79,0,0.487,0.503,5th of 8,19.5,,622,618,"122,671",26.7,27.7,J.Pfeffer (7.6),W.Robinson (75-79),Los Angeles Dodgers
1913,Brooklyn Superbas,NL,152,65,84,3,0.436,0.486,6th of 8,34.5,,595,613,"347,000",26,27.4,N.Rucker (4.8),B.Dahlen (65-84),Los Angeles Dodgers
1912,Brooklyn Dodgers,NL,153,58,95,0,0.379,0.439,7th of 8,46,,651,744,"243,000",25.9,26.1,N.Rucker (8.4),B.Dahlen (58-95),Los Angeles Dodgers
1911,Brooklyn Dodgers,NL,154,64,86,4,0.427,0.409,7th of 8,33.5,,539,659,"269,000",26.1,26.8,N.Rucker (8.9),B.Dahlen (64-86),Los Angeles Dodgers
1910,Brooklyn Superbas,NL,156,64,90,2,0.416,0.398,6th of 8,40,,497,623,"279,321",25.9,28.1,N.Rucker (7.1),B.Dahlen (64-90),Los Angeles Dodgers
1909,Brooklyn Superbas,NL,155,55,98,2,0.359,0.347,6th of 8,55.5,,444,627,"321,300",26.6,28.1,N.Rucker (7.3),H.Lumley (55-98),Los Angeles Dodgers
1908,Brooklyn Superbas,NL,154,53,101,0,0.344,0.358,7th of 8,46,,375,516,"275,600",27.1,28,N.Rucker (5.7),P.Donovan (53-101),Los Angeles Dodgers
1907,Brooklyn Superbas,NL,153,65,83,5,0.439,0.429,5th of 8,40,,446,522,"312,500",28.1,27.1,T.Jordan (3.6),P.Donovan (65-83),Los Angeles Dodgers
1906,Brooklyn Superbas,NL,153,66,86,1,0.434,0.396,5th of 8,50,,496,625,"277,400",27.9,26.6,H.Lumley (6.2),P.Donovan (66-86),Los Angeles Dodgers
1905,Brooklyn Superbas,NL,155,48,104,3,0.316,0.299,8th of 8,56.5,,506,807,"227,924",26.1,25.8,J.Sheckard (4.0),N.Hanlon (48-104),Los Angeles Dodgers
1904,Brooklyn Superbas,NL,154,56,97,1,0.366,0.404,6th of 8,50,,497,614,"214,600",26.4,27.4,J.Cronin (3.4),N.Hanlon (56-97),Los Angeles Dodgers
1903,Brooklyn Superbas,NL,139,70,66,3,0.515,0.49,5th of 8,19,,667,682,"224,670",27.6,27.4,J.Sheckard (7.0),N.Hanlon (70-66),Los Angeles Dodgers
1902,Brooklyn Superbas,NL,141,75,63,3,0.543,0.538,2nd of 8,27.5,,564,519,"199,868",28.5,27.2,B.Dahlen (4.3),N.Hanlon (75-63),Los Angeles Dodgers
1901,Brooklyn Superbas,NL,137,79,57,1,0.581,0.597,3rd of 8,9.5,,744,600,"198,200",29.5,27,J.Sheckard (6.4),N.Hanlon (79-57),Los Angeles Dodgers
1900,Brooklyn Superbas,NL,142,82,54,6,0.603,0.556,1st of 8,--,,816,722,"183,000",29.8,29.1,J.McGinnity (5.1),N.Hanlon (82-54),Los Angeles Dodgers
1899,Brooklyn Superbas,NL,150,101,47,2,0.682,0.636,1st of 12,--,,892,658,"269,641",28.4,26.4,J.Hughes (8.0),N.Hanlon (101-47),Los Angeles Dodgers
1898,Brooklyn Bridegrooms,NL,149,54,91,4,0.372,0.392,10th of 12,46,,638,811,"122,514",28.4,25.6,B.Kennedy (4.0),"B.Barnie (15-20), M.Griffin (1-3) and C.Ebbets (38-68)",Los Angeles Dodgers
1897,Brooklyn Bridegrooms,NL,136,61,71,4,0.462,0.476,7th of 12,32,,802,845,"220,831",29.9,27.7,B.Kennedy (4.8),B.Barnie (61-71),Los Angeles Dodgers
1896,Brooklyn Bridegrooms,NL,133,58,73,2,0.443,0.455,10th of 12,33,,692,764,"201,000",28.9,27.6,H.Payne (4.8),D.Foutz (58-73),Los Angeles Dodgers
1895,Brooklyn Grooms,NL,133,71,60,2,0.542,0.522,5th of 12,16.5,,879,838,"230,000",28.3,25.6,M.Griffin (5.6),D.Foutz (71-60),Los Angeles Dodgers
1894,Brooklyn Grooms,NL,134,70,61,3,0.534,0.502,5th of 12,20.5,,1024,1020,"214,000",28.6,25.1,M.Griffin (4.5),D.Foutz (70-61),Los Angeles Dodgers
1893,Brooklyn Grooms,NL,130,65,63,2,0.508,0.461,7th of 12,20.5,,775,845,"235,000",29.5,25,B.Kennedy (5.9),D.Foutz (65-63),Los Angeles Dodgers
1892,Brooklyn Grooms,NL,158,95,59,4,0.617,0.61,3rd of 12,9,,935,733,"183,727",27.7,25.3,D.Brouthers (8.8),J.Ward (95-59),Los Angeles Dodgers
1891,Brooklyn Grooms,NL,137,61,76,0,0.445,0.468,6th of 8,25.5,,765,820,"181,477",28,25.6,B.Caruthers (4.1),J.Ward (61-76),Los Angeles Dodgers
1890,Brooklyn Bridegrooms,NL,129,86,43,0,0.667,0.657,1st of 8,--,Tied in WS (3-3-1),884,620,"121,412",27.9,25.7,A.Terry (6.1),B.McGunnigle (86-43),Los Angeles Dodgers
1889,Brooklyn Bridegrooms,AA,140,93,44,3,0.679,0.652,1st of 8,--,Lost WS (6-3),995,706,,27.7,24.6,B.Caruthers (8.6),B.McGunnigle (93-44),Los Angeles Dodgers
1888,Brooklyn Bridegrooms,AA,143,88,52,3,0.629,0.617,2nd of 8,6.5,,758,584,,27.7,23.9,B.Caruthers (6.8),B.McGunnigle (88-52),Los Angeles Dodgers
1887,Brooklyn Grays,AA,138,60,74,4,0.448,0.493,6th of 8,34.5,,904,918,,26.8,26.2,A.Terry (2.5),C.Byrne (60-74),Los Angeles Dodgers
1886,Brooklyn Grays,AA,141,76,61,4,0.555,0.5,3rd of 8,16,,832,832,,26.3,25.5,A.Terry (3.0),C.Byrne (76-61),Los Angeles Dodgers
1885,Brooklyn Grays,AA,112,53,59,0,0.473,0.481,5th of 8,26,,624,650,,26.1,25.2,H.Porter (6.1),C.Hackett (15-22) and C.Byrne (38-37),Los Angeles Dodgers
1884,Brooklyn Atlantics,AA,109,40,64,5,0.385,0.365,9th of 13,33.5,,476,644,,28,24.2,A.Terry (2.3),G.Taylor (40-64),Los Angeles Dodgers
2016,Miami Marlins,NL East,161,79,82,0,0.491,0.482,3rd of 5,15.5,,655,682,"1,712,417",28.3,28,C.Yelich (5.3),D.Mattingly (79-82),Miami Marlins
2015,Miami Marlins,NL East,162,71,91,0,0.438,0.454,3rd of 5,19,,613,678,"1,752,235",27.9,27.3,D.Gordon (4.9),M.Redmond (16-22) and D.Jennings (55-69),Miami Marlins
2014,Miami Marlins,NL East,162,77,85,0,0.475,0.48,4th of 5,19,,645,674,"1,732,283",27.4,26.4,G.Stanton (6.5),M.Redmond (77-85),Miami Marlins
2013,Miami Marlins,NL East,162,62,100,0,0.383,0.396,5th of 5,34,,513,646,"1,586,322",27.7,26,J.Fernandez (6.7),M.Redmond (62-100),Miami Marlins
2012,Miami Marlins,NL East,162,69,93,0,0.426,0.422,5th of 5,29,,609,724,"2,219,444",28.3,28.8,G.Stanton (5.5),O.Guillen (69-93),Miami Marlins
2011,Florida Marlins,NL East,162,72,90,0,0.444,0.447,5th of 5,30,,625,702,"1,520,562",27.4,28,G.Stanton (4.1),"E.Rodriguez (32-39), B.Hyde (0-1) and J.McKeon (40-50)",Miami Marlins
2010,Florida Marlins,NL East,162,80,82,0,0.494,0.501,3rd of 5,17,,719,717,"1,524,894",26.9,27.1,J.Johnson (6.8),F.Gonzalez (34-36) and E.Rodriguez (46-46),Miami Marlins
2009,Florida Marlins,NL East,162,87,75,0,0.537,0.504,2nd of 5,6,,772,766,"1,464,109",27,26.3,J.Johnson (7.4),F.Gonzalez (87-75),Miami Marlins
2008,Florida Marlins,NL East,161,84,77,0,0.522,0.502,3rd of 5,7.5,,770,767,"1,335,076",28,26.6,H.Ramirez (6.7),F.Gonzalez (84-77),Miami Marlins
2007,Florida Marlins,NL East,162,71,91,0,0.438,0.445,5th of 5,18,,790,891,"1,370,511",26.7,26.2,H.Ramirez (4.3),F.Gonzalez (71-91),Miami Marlins
2006,Florida Marlins,NL East,162,78,84,0,0.481,0.492,4th of 5,19,,758,772,"1,164,134",25.6,25.9,M.Cabrera (5.8),J.Girardi (78-84),Miami Marlins
2005,Florida Marlins,NL East,162,83,79,0,0.512,0.491,3rd of 5,7,,717,732,"1,852,608",29.7,29.5,D.Willis (8.4),J.McKeon (83-79),Miami Marlins
2004,Florida Marlins,NL East,162,83,79,0,0.512,0.512,3rd of 5,13,,718,700,"1,723,105",28.8,27.8,C.Pavano (5.8),J.McKeon (83-79),Miami Marlins
2003,Florida Marlins,NL East,162,91,71,0,0.562,0.537,2nd of 5,10,Won WS (4-2),751,692,"1,303,215",27.7,26.3,D.Willis (4.4),J.Torborg (16-22) and J.McKeon (75-49),Miami Marlins
2002,Florida Marlins,NL East,162,79,83,0,0.488,0.46,4th of 5,23,,699,763,"813,118",28.4,26.1,A.Burnett (4.1),J.Torborg (79-83),Miami Marlins
2001,Florida Marlins,NL East,162,76,86,0,0.469,0.499,4th of 5,12,,742,744,"1,261,226",27.3,26.5,C.Floyd (6.6),J.Boles (22-26) and T.Perez (54-60),Miami Marlins
2000,Florida Marlins,NL East,161,79,82,0,0.491,0.461,3rd of 5,15.5,,731,797,"1,218,326",26.1,26.7,L.Castillo (4.5),J.Boles (79-82),Miami Marlins
1999,Florida Marlins,NL East,162,64,98,0,0.395,0.405,5th of 5,39,,691,852,"1,369,421",25.2,26,A.Fernandez (3.5),J.Boles (64-98),Miami Marlins
1998,Florida Marlins,NL East,162,54,108,0,0.333,0.356,5th of 5,52,,667,923,"1,730,384",25.4,24.5,M.Kotsay (3.9),J.Leyland (54-108),Miami Marlins
1997,Florida Marlins,NL East,162,92,70,0,0.568,0.546,2nd of 5,9,Won WS (4-3),740,669,"2,364,387",28.5,27.5,K.Brown (6.8),J.Leyland (92-70),Miami Marlins
1996,Florida Marlins,NL East,162,80,82,0,0.494,0.49,3rd of 5,16,,688,703,"1,746,767",27.9,28,K.Brown (7.9),"R.Lachemann (39-47), C.Rojas (1-0) and J.Boles (40-35)",Miami Marlins
1995,Florida Marlins,NL East,143,67,76,0,0.469,0.5,4th of 5,22.5,,673,673,"1,700,466",28.1,28.3,C.Hammond (3.3),R.Lachemann (67-76),Miami Marlins
1994,Florida Marlins,NL East,115,51,64,0,0.443,0.406,5th of 5,23.5,,468,576,"1,937,467",27.6,29,J.Conine (2.8),R.Lachemann (51-64),Miami Marlins
1993,Florida Marlins,NL East,162,64,98,0,0.395,0.401,6th of 7,33,,581,724,"3,064,847",27.7,29.7,B.Harvey (4.0),R.Lachemann (64-98),Miami Marlins
2016,Milwaukee Brewers,NL Central,162,73,89,0,0.451,0.46,4th of 5,30.5,,671,733,"2,314,614",27.5,28.1,R.Braun (4.4),C.Counsell (73-89),Milwaukee Brewers
2015,Milwaukee Brewers,NL Central,162,68,94,0,0.42,0.446,4th of 5,32,,655,737,"2,542,558",28.1,28.4,R.Braun (3.8),R.Roenicke (7-18) and C.Counsell (61-76),Milwaukee Brewers
2014,Milwaukee Brewers,NL Central,162,82,80,0,0.506,0.495,3rd of 5,8,,650,657,"2,797,384",28.8,29,J.Lucroy (6.7),R.Roenicke (82-80),Milwaukee Brewers
2013,Milwaukee Brewers,NL Central,162,74,88,0,0.457,0.468,4th of 5,23,,640,687,"2,531,105",27.9,28.8,C.Gomez (8.5),R.Roenicke (74-88),Milwaukee Brewers
2012,Milwaukee Brewers,NL Central,162,83,79,0,0.512,0.526,3rd of 6,14,,776,733,"2,831,385",29.2,29,R.Braun (6.9),R.Roenicke (83-79),Milwaukee Brewers
2011,Milwaukee Brewers,NL Central,162,96,66,0,0.593,0.556,1st of 6,--,Lost NLCS (4-2),721,638,"3,071,373",28.9,29.3,R.Braun (7.8),R.Roenicke (96-66),Milwaukee Brewers
2010,Milwaukee Brewers,NL Central,162,77,85,0,0.475,0.468,3rd of 6,14,,750,804,"2,776,531",27.8,29.2,R.Braun (5.7),K.Macha (77-85),Milwaukee Brewers
2009,Milwaukee Brewers,NL Central,162,80,82,0,0.494,0.481,3rd of 6,11,,785,818,"3,037,451",29.3,30,P.Fielder (6.3),K.Macha (80-82),Milwaukee Brewers
2008,Milwaukee Brewers,NL Central,162,90,72,0,0.556,0.539,2nd of 6,7.5,Lost LDS (3-1),750,689,"3,068,458",28.7,29.9,C.Sabathia (5.2),N.Yost (83-67) and D.Sveum (7-5),Milwaukee Brewers
2007,Milwaukee Brewers,NL Central,162,83,79,0,0.512,0.515,2nd of 6,2,,801,776,"2,869,144",27.7,29.1,C.Hart (4.7),N.Yost (83-79),Milwaukee Brewers
2006,Milwaukee Brewers,NL Central,162,75,87,0,0.463,0.44,4th of 6,8.5,,730,833,"2,335,643",28.8,28.3,B.Hall (5.8),N.Yost (75-87),Milwaukee Brewers
2005,Milwaukee Brewers,NL Central,162,81,81,0,0.5,0.519,3rd of 6,19,,726,697,"2,211,023",28.4,28,G.Jenkins (4.6),N.Yost (81-81),Milwaukee Brewers
2004,Milwaukee Brewers,NL Central,161,67,94,0,0.416,0.42,6th of 6,37.5,,634,757,"2,062,382",28.5,27.2,B.Sheets (7.3),N.Yost (67-94),Milwaukee Brewers
2003,Milwaukee Brewers,NL Central,162,68,94,0,0.42,0.409,6th of 6,20,,714,873,"1,700,354",29.8,27.6,S.Podsednik (3.6),N.Yost (68-94),Milwaukee Brewers
2002,Milwaukee Brewers,NL Central,162,56,106,0,0.346,0.379,6th of 6,41,,627,821,"1,969,153",29.9,26.8,J.Hernandez (4.4),D.Lopes (3-12) and J.Royster (53-94),Milwaukee Brewers
2001,Milwaukee Brewers,NL Central,162,68,94,0,0.42,0.461,4th of 6,25,,740,806,"2,811,041",29.4,27.3,R.Belliard (3.5),D.Lopes (68-94),Milwaukee Brewers
2000,Milwaukee Brewers,NL Central,163,73,89,1,0.451,0.45,3rd of 6,22,,740,826,"1,573,621",28.8,27.4,J.D'Amico (4.8),D.Lopes (73-89),Milwaukee Brewers
1999,Milwaukee Brewers,NL Central,161,74,87,0,0.46,0.462,5th of 6,22.5,,815,886,"1,701,796",28.1,28.2,J.Cirillo (4.8),P.Garner (52-60) and J.Lefebvre (22-27),Milwaukee Brewers
1998,Milwaukee Brewers,NL Central,162,74,88,0,0.457,0.437,5th of 6,28,,707,812,"1,811,593",28.4,28.1,J.Cirillo (5.9),P.Garner (74-88),Milwaukee Brewers
1997,Milwaukee Brewers,AL Central,161,78,83,0,0.484,0.461,3rd of 5,8,,681,742,"1,444,027",28.1,28.3,J.Cirillo (5.3),P.Garner (78-83),Milwaukee Brewers
1996,Milwaukee Brewers,AL Central,162,80,82,0,0.494,0.497,3rd of 5,19.5,,894,899,"1,327,155",27.8,27.2,B.McDonald (5.4),P.Garner (80-82),Milwaukee Brewers
1995,Milwaukee Brewers,AL Central,144,65,79,0,0.451,0.496,4th of 5,35,,740,747,"1,087,560",27.9,27.3,R.Bones (3.4),P.Garner (65-79),Milwaukee Brewers
1994,Milwaukee Brewers,AL Central,115,53,62,0,0.461,0.469,5th of 5,15,,547,586,"1,268,399",28,28.3,R.Bones (4.0),P.Garner (53-62),Milwaukee Brewers
1993,Milwaukee Brewers,AL East,162,69,93,0,0.426,0.465,7th of 7,26,,733,792,"1,688,080",28.4,27.3,G.Vaughn (6.7),P.Garner (69-93),Milwaukee Brewers
1992,Milwaukee Brewers,AL East,162,92,70,0,0.568,0.592,2nd of 7,4,,740,604,"1,857,351",29.7,27.5,B.Wegman (4.8),P.Garner (92-70),Milwaukee Brewers
1991,Milwaukee Brewers,AL East,162,83,79,0,0.512,0.533,4th of 7,8,,799,744,"1,478,729",30.1,27,P.Molitor (5.3),T.Trebelhorn (83-79),Milwaukee Brewers
1990,Milwaukee Brewers,AL East,162,74,88,0,0.457,0.483,6th of 7,14,,732,760,"1,752,900",29.4,28.6,R.Robinson (3.3),T.Trebelhorn (74-88),Milwaukee Brewers
1989,Milwaukee Brewers,AL East,162,81,81,0,0.5,0.518,4th of 7,8,,707,679,"1,970,735",28.4,27.9,R.Yount (5.8),T.Trebelhorn (81-81),Milwaukee Brewers
1988,Milwaukee Brewers,AL East,162,87,75,0,0.537,0.546,3rd of 7,2,,682,616,"1,923,238",28.4,27.2,T.Higuera (7.4),T.Trebelhorn (87-75),Milwaukee Brewers
1987,Milwaukee Brewers,AL East,162,91,71,0,0.562,0.525,3rd of 7,7,,862,817,"1,909,244",27.4,26.2,T.Higuera (6.5),T.Trebelhorn (91-71),Milwaukee Brewers
1986,Milwaukee Brewers,AL East,161,77,84,0,0.478,0.456,6th of 7,18,,667,734,"1,265,041",29.1,26.2,T.Higuera (9.4),G.Bamberger (71-81) and T.Trebelhorn (6-3),Milwaukee Brewers
1985,Milwaukee Brewers,AL East,161,71,90,0,0.441,0.432,6th of 7,28,,690,802,"1,360,265",29.9,30.3,P.Molitor (3.7),G.Bamberger (71-90),Milwaukee Brewers
1984,Milwaukee Brewers,AL East,161,67,94,0,0.416,0.438,7th of 7,36.5,,641,734,"1,608,509",29.7,31.2,R.Yount (5.9),R.Lachemann (67-94),Milwaukee Brewers
1983,Milwaukee Brewers,AL East,162,87,75,0,0.537,0.535,5th of 7,11,,764,708,"2,397,131",29.8,30.6,R.Yount (7.2),H.Kuenn (87-75),Milwaukee Brewers
1982,Milwaukee Brewers,AL East,163,95,67,1,0.586,0.598,1st of 7,--,Lost WS (4-3),891,717,"1,978,896",29.5,30.3,R.Yount (10.5),B.Rodgers (23-24) and H.Kuenn (72-43),Milwaukee Brewers
1981,Milwaukee Brewers,AL East,109,62,47,0,0.569,0.533,1st of 7,--,Lost LDS (3-2),493,459,"874,292",28.9,29.1,R.Yount (4.9),B.Rodgers (62-47),Milwaukee Brewers
1980,Milwaukee Brewers,AL East,162,86,76,0,0.531,0.579,3rd of 7,17,,811,682,"1,857,408",28,27.3,R.Yount (7.1),B.Rodgers (39-31) and G.Bamberger (47-45),Milwaukee Brewers
1979,Milwaukee Brewers,AL East,161,95,66,0,0.59,0.551,2nd of 7,8,,807,722,"1,918,343",27.5,26.6,S.Lezcano (5.6),G.Bamberger (95-66),Milwaukee Brewers
1978,Milwaukee Brewers,AL East,162,93,69,0,0.574,0.596,3rd of 7,6.5,,804,650,"1,601,406",27.3,25.1,M.Caldwell (8.1),G.Bamberger (93-69),Milwaukee Brewers
1977,Milwaukee Brewers,AL East,162,67,95,0,0.414,0.418,6th of 7,33,,639,765,"1,114,938",27.1,24.1,D.Money (5.1),A.Grammas (67-95),Milwaukee Brewers
1976,Milwaukee Brewers,AL East,161,66,95,0,0.41,0.437,6th of 6,32,,570,655,"1,012,164",27,26,B.Travers (4.5),A.Grammas (66-95),Milwaukee Brewers
1975,Milwaukee Brewers,AL East,162,68,94,0,0.42,0.427,5th of 6,28,,675,792,"1,213,357",26.9,25.6,D.Porter (3.7),D.Crandall (67-94) and H.Kuenn (1-0),Milwaukee Brewers
1974,Milwaukee Brewers,AL East,162,76,86,0,0.469,0.491,5th of 6,15,,647,660,"955,741",26.5,26.1,T.Murphy (5.2),D.Crandall (76-86),Milwaukee Brewers
1973,Milwaukee Brewers,AL East,162,74,88,0,0.457,0.485,5th of 6,23,,708,731,"1,092,158",25.8,26,G.Scott (6.7),D.Crandall (74-88),Milwaukee Brewers
1972,Milwaukee Brewers,AL East,156,65,91,0,0.417,0.415,6th of 6,21,,493,595,"600,440",26.6,25.9,G.Scott (4.9),"D.Bristol (10-20), R.McMillan (1-1) and D.Crandall (54-70)",Milwaukee Brewers
1971,Milwaukee Brewers,AL West,161,69,92,0,0.429,0.44,6th of 6,32,,534,609,"731,531",27.1,26,K.Sanders (3.9),D.Bristol (69-92),Milwaukee Brewers
1970,Milwaukee Brewers,AL West,163,65,97,1,0.401,0.408,4th of 6,33,,613,751,"933,690",29.2,27.8,T.Harper (7.4),D.Bristol (65-97),Milwaukee Brewers
1969,Seattle Pilots,AL West,163,64,98,1,0.395,0.399,6th of 6,33,,639,799,"677,944",28,28.4,W.Comer (3.2),J.Schultz (64-98),Milwaukee Brewers
2016,Minnesota Twins,AL Central,162,59,103,0,0.364,0.406,5th of 5,35.5,,722,889,"1,963,912",27,28.3,B.Dozier (6.5),P.Molitor (59-103),Minnesota Twins
2015,Minnesota Twins,AL Central,162,83,79,0,0.512,0.497,2nd of 5,12,,696,700,"2,220,054",28.3,29.1,K.Gibson (3.2),P.Molitor (83-79),Minnesota Twins
2014,Minnesota Twins,AL Central,162,70,92,0,0.432,0.462,5th of 5,20,,715,777,"2,250,606",27.6,29.2,B.Dozier (5.2),R.Gardenhire (70-92),Minnesota Twins
2013,Minnesota Twins,AL Central,162,66,96,0,0.407,0.388,4th of 5,27,,614,788,"2,477,644",28.3,28.3,J.Mauer (5.3),R.Gardenhire (66-96),Minnesota Twins
2012,Minnesota Twins,AL Central,162,66,96,0,0.407,0.422,5th of 5,22,,701,832,"2,776,354",28.8,27.8,D.Span (5.0),R.Gardenhire (66-96),Minnesota Twins
2011,Minnesota Twins,AL Central,162,63,99,0,0.389,0.383,5th of 5,32,,619,804,"3,168,116",27.6,28.5,S.Baker (4.4),R.Gardenhire (63-99),Minnesota Twins
2010,Minnesota Twins,AL Central,162,94,68,0,0.58,0.569,1st of 5,--,Lost LDS (3-0),781,671,"3,223,640",28.5,28.6,J.Mauer (5.9),R.Gardenhire (94-68),Minnesota Twins
2009,Minnesota Twins,AL Central,163,87,76,0,0.534,0.53,1st of 5,--,Lost LDS (3-0),817,765,"2,416,237",27.7,27.9,J.Mauer (7.8),R.Gardenhire (87-76),Minnesota Twins
2008,Minnesota Twins,AL Central,163,88,75,0,0.54,0.549,2nd of 5,1,,829,745,"2,302,431",26.4,27.5,J.Mauer (5.6),R.Gardenhire (88-75),Minnesota Twins
2007,Minnesota Twins,AL Central,162,79,83,0,0.488,0.496,3rd of 5,17,,718,725,"2,296,383",28.4,27.4,J.Santana (5.2),R.Gardenhire (79-83),Minnesota Twins
2006,Minnesota Twins,AL Central,162,96,66,0,0.593,0.572,1st of 5,--,Lost LDS (3-0),801,683,"2,285,018",28.2,26.9,J.Santana (7.5),R.Gardenhire (96-66),Minnesota Twins
2005,Minnesota Twins,AL Central,162,83,79,0,0.512,0.518,3rd of 5,16,,688,662,"2,034,243",27.6,27.9,J.Santana (7.2),R.Gardenhire (83-79),Minnesota Twins
2004,Minnesota Twins,AL Central,162,92,70,0,0.568,0.54,1st of 5,--,Lost LDS (3-1),780,715,"1,911,490",27.9,28.2,J.Santana (8.7),R.Gardenhire (92-70),Minnesota Twins
2003,Minnesota Twins,AL Central,162,90,72,0,0.556,0.525,1st of 5,--,Lost LDS (3-1),801,758,"1,946,011",27.3,29.7,A.Pierzynski (4.5),R.Gardenhire (90-72),Minnesota Twins
2002,Minnesota Twins,AL Central,161,94,67,0,0.584,0.535,1st of 5,--,Lost ALCS (4-1),768,712,"1,924,473",26.8,28.8,J.Jones (5.4),R.Gardenhire (94-67),Minnesota Twins
2001,Minnesota Twins,AL Central,162,85,77,0,0.525,0.503,2nd of 5,6,,771,766,"1,782,929",26.4,27.4,J.Mays (6.6),T.Kelly (85-77),Minnesota Twins
2000,Minnesota Twins,AL Central,162,69,93,0,0.426,0.426,5th of 5,26,,748,880,"1,000,760",26.5,26.6,B.Radke (6.2),T.Kelly (69-93),Minnesota Twins
1999,Minnesota Twins,AL Central,161,63,97,1,0.394,0.406,5th of 5,33,,686,845,"1,202,829",26.8,26.3,B.Radke (6.5),T.Kelly (63-97),Minnesota Twins
1998,Minnesota Twins,AL Central,162,70,92,0,0.432,0.451,4th of 5,19,,734,818,"1,165,976",29.8,28.7,B.Radke (5.2),T.Kelly (70-92),Minnesota Twins
1997,Minnesota Twins,AL Central,162,68,94,0,0.42,0.45,4th of 5,18.5,,772,861,"1,411,064",29.1,28.1,C.Knoblauch (6.7),T.Kelly (68-94),Minnesota Twins
1996,Minnesota Twins,AL Central,162,78,84,0,0.481,0.488,4th of 5,21.5,,877,900,"1,437,352",28.4,25.8,C.Knoblauch (8.6),T.Kelly (78-84),Minnesota Twins
1995,Minnesota Twins,AL Central,144,56,88,0,0.389,0.394,5th of 5,44,,703,889,"1,057,667",27.3,25.7,C.Knoblauch (6.7),T.Kelly (56-88),Minnesota Twins
1994,Minnesota Twins,AL Central,113,53,60,0,0.469,0.433,4th of 5,14,,594,688,"1,398,565",28.9,28.1,C.Knoblauch (4.0),T.Kelly (53-60),Minnesota Twins
1993,Minnesota Twins,AL West,162,71,91,0,0.438,0.418,5th of 7,23,,693,830,"2,048,673",29.6,27.5,C.Knoblauch (3.6),T.Kelly (71-91),Minnesota Twins
